=== Batch Scene Capture ===
[269/1971] axiom_garden - capturing... OK
[270/1971] time_series_analysis - capturing... OK
[271/1971] transformers_vr - capturing... OK
[272/1971] transformers - capturing... OK
[273/1971] variational_autoencoders_vaes_vr - capturing... OK
[274/1971] vaes - capturing... OK
[275/1971] algorithm_overview - capturing... OK
[276/1971] tartan_demo - capturing... OK
[277/1971] nature_system_demo - capturing... OK
[278/1971] puls_markov - capturing... OK
[279/1971] perception_altering - capturing... OK
[281/1971] newton_raphson_visualization - capturing... OK
    --- Progress: 250 captured, 3 failed, ~137 min remaining ---
[282/1971] simulated_annealing - capturing... OK
[283/1971] example_1_10_accelerating_towards_the_mouse_vr - capturing... OK
[284/1971] example_3_10_swinging_pendulum_vr - capturing... OK
[285/1971] example_3_11_a_spring_connection_vr - capturing... OK
[286/1971] example_3_1_angular_motion_using_rotate_vr - capturing... OK
[287/1971] example_3_2_forces_with_arbitrary_angular_motion_vr - capturing... OK
[288/1971] example_3_3_pointing_in_the_direction_of_motion_vr - capturing... OK
[289/1971] example_3_4_polar_to_cartesian_vr - capturing... OK
[290/1971] example_3_5_simple_harmonic_motion_vr - capturing... OK
[291/1971] example_3_6_simple_harmonic_motion_ii_vr - capturing... OK
[292/1971] example_3_7_oscillator_objects_vr - capturing... OK
[293/1971] example_3_8_static_wave_vr - capturing... OK
[294/1971] example_3_9_the_wave_vr - capturing... OK
[295/1971] exercise_3_11_oop_wave_vr - capturing... OK
[296/1971] exercise_3_12_additive_wave_vr - capturing... OK
[297/1971] exercise_3_15_double_pendulum_vr - capturing... OK
[298/1971] exercise_3_1_baton_vr - capturing... OK
[299/1971] exercise_3_5_spiral_vr - capturing... OK
[300/1971] exercise_3_6_asteroids_vr - capturing... OK
[301/1971] example_4_1_single_particle_vr - capturing... OK
[302/1971] example_4_2_array_particles_vr - capturing... OK
[303/1971] example_4_3_particle_emitter_vr - capturing... OK
[304/1971] example_4_4_multiple_emitters_vr - capturing... OK
[305/1971] example_4_5_inheritance_polymorphism_vr - capturing... OK
[306/1971] example_4_6_particle_repeller_vr - capturing... OK
[307/1971] example_particle_body - capturing... OK
[308/1971] FlowFieldMain - capturing... OK
[309/1971] animalpatterns - capturing... OK
[310/1971] diffusion_limited_aggregation - capturing... OK
[311/1971] fabrics - capturing... OK
[312/1971] glassdivider - capturing... OK
[313/1971] gridscheckers - capturing... OK
[314/1971] penrose_tilings - capturing... OK
[315/1971] truchettiles - capturing... OK
[316/1971] waves - capturing... OK
[317/1971] example_6_1_basic_rigidbody_vr - capturing... OK
[318/1971] example_6_2_falling_boxes_vr - capturing... OK
[319/1971] example_6_3_compound_bodies_vr - capturing... OK
[320/1971] example_6_4_windmill_vr - capturing... OK
[321/1971] example_6_5_chain_vr - capturing... OK
[322/1971] example_6_6_grab_vr - capturing... OK
[323/1971] example_6_7_bridge_vr - capturing... OK
[324/1971] example_6_8_collision_layers_vr - capturing... OK
[325/1971] affect_theory_visualization - capturing... OK
[326/1971] bouncing_ball - capturing... OK
[327/1971] cloth_simulation - capturing... OK
[328/1971] collision_detection - capturing... OK
[329/1971] constraints - capturing... OK
[330/1971] fem_simulation - capturing... OK
[331/1971] firework_launcher - capturing... OK
    --- Progress: 300 captured, 3 failed, ~129 min remaining ---
[332/1971] fluid_simulation - capturing... OK
[334/1971] force_fields - capturing... OK
[335/1971] gravity_well - capturing... OK
[336/1971] magnetic_simulation - capturing... OK
[337/1971] mass_spring_damper - capturing... OK
[338/1971] nbody_simulation - capturing... OK
[339/1971] newton_cradle - capturing... OK
[340/1971] newtons_laws - capturing... OK
[341/1971] numerical_integration - capturing... OK
[342/1971] particle_systems - capturing... OK
[343/1971] playground_of_joy - capturing... OK
[344/1971] raycastingpoints - capturing... OK
[345/1971] rigid_body - capturing... OK
[346/1971] slingshot_launcher - capturing... OK
[347/1971] flagdancer - capturing... Exception in thread Thread-635 (_readerthread):
Traceback (most recent call last):
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 1044, in _bootstrap_inner
    self.run()
    ~~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 995, in run
    self._target(*self._args, **self._kwargs)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\subprocess.py", line 1615, in _readerthread
    buffer.append(fh.read())
                  ~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\encodings\cp1252.py", line 23, in decode
    return codecs.charmap_decode(input,self.errors,decoding_table)[0]
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
UnicodeDecodeError: 'charmap' codec can't decode byte 0x8f in position 7623: character maps to <undefined>
OK
[348/1971] soft_bodies - capturing... OK
[349/1971] softstopscene - capturing... Exception in thread Thread-639 (_readerthread):
Traceback (most recent call last):
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 1044, in _bootstrap_inner
    self.run()
    ~~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 995, in run
    self._target(*self._args, **self._kwargs)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\subprocess.py", line 1615, in _readerthread
    buffer.append(fh.read())
                  ~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\encodings\cp1252.py", line 23, in decode
    return codecs.charmap_decode(input,self.errors,decoding_table)[0]
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
UnicodeDecodeError: 'charmap' codec can't decode byte 0x8f in position 8984: character maps to <undefined>
OK
[350/1971] softmill - capturing... OK
[351/1971] softbody3d - capturing... OK
[352/1971] spring_mass_system - capturing... OK
[353/1971] spring_system - capturing... OK
[354/1971] surreal_kinetic_sculpture - capturing... OK
[355/1971] three_body_problem - capturing... OK
[356/1971] vector_fields - capturing... OK
[357/1971] verlet_integration - capturing... OK
[358/1971] viscosity_layers - capturing... OK
[359/1971] waterone - capturing... OK
[360/1971] waterflowers - capturing... OK
[361/1971] alphahash - capturing... OK
[362/1971] postprocessing_bloom - capturing... OK
[363/1971] booleans - capturing... OK
[364/1971] booleanvariations - capturing... OK
[365/1971] diamondtoruscollection - capturing... OK
[366/1971] fetishtorus - capturing... OK
[367/1971] geometric_transformations - capturing... OK
[368/1971] albers_wall_gallery - capturing... OK
[369/1971] homagetothesquare - capturing... OK
[370/1971] platonicsolids - capturing... OK
[371/1971] rainbow - capturing... OK
[372/1971] scale_me - capturing... OK
[373/1971] additive_synthesis - capturing... OK
[374/1971] audio_effects - capturing... OK
[375/1971] fm_synthesis - capturing... OK
[376/1971] generative_music - capturing... OK
[377/1971] granular_synthesis - capturing... OK
[378/1971] psychoacoustics - capturing... OK
[379/1971] subtractive_synthesis - capturing... OK
[380/1971] boolean_patterns - capturing... Exception in thread Thread-701 (_readerthread):
Traceback (most recent call last):
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 1044, in _bootstrap_inner
    self.run()
    ~~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 995, in run
    self._target(*self._args, **self._kwargs)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\subprocess.py", line 1615, in _readerthread
    buffer.append(fh.read())
                  ~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\encodings\cp1252.py", line 23, in decode
    return codecs.charmap_decode(input,self.errors,decoding_table)[0]
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
UnicodeDecodeError: 'charmap' codec can't decode byte 0x8f in position 8098: character maps to <undefined>
OK
[381/1971] wfc - capturing... OK
[382/1971] WFCCav - capturing... OK
    --- Progress: 350 captured, 3 failed, ~123 min remaining ---
[383/1971] modelsynthesis - capturing... OK
[384/1971] wave_function_collapse - capturing... OK
[385/1971] wfc_3d_demo - capturing... OK
[386/1971] wfc_dungeon_generator - capturing... Exception in thread Thread-713 (_readerthread):
Traceback (most recent call last):
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 1044, in _bootstrap_inner
    self.run()
    ~~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 995, in run
    self._target(*self._args, **self._kwargs)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\subprocess.py", line 1615, in _readerthread
    buffer.append(fh.read())
                  ~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\encodings\cp1252.py", line 23, in decode
    return codecs.charmap_decode(input,self.errors,decoding_table)[0]
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
UnicodeDecodeError: 'charmap' codec can't decode byte 0x8f in position 7505: character maps to <undefined>
OK
[387/1971] markov_chains - capturing... OK
[388/1971] markov_chains_tree - capturing... OK
[389/1971] branching_growth_algorithm - capturing... OK
[390/1971] branching_growth_algorithm_continued - capturing... OK
[391/1971] CaveGenerator - capturing... OK
[392/1971] caverandomwalk - capturing... OK
[393/1971] crackpropagation_ca - capturing... OK
[394/1971] GeneticProgramming - capturing... OK
[395/1971] mirror_cellular_texture_for_3d - capturing... OK
[396/1971] mirrored_cellular_automata - capturing... OK
[397/1971] mushrooms - capturing... OK
[398/1971] percolationnetwork_ca - capturing... OK
[399/1971] reaction_diffusion - capturing... OK
[400/1971] reaction_diffusion_vr - capturing... OK
[401/1971] slime_mold - capturing... OK
[402/1971] space_colonization_algorithm - capturing... OK
[403/1971] tree_gen - capturing... OK
[404/1971] penteract_double_projection - capturing... OK
[405/1971] sixteen_cell_net_space_showcase - capturing... OK
[406/1971] tessellating_portal_demo - capturing... OK
[407/1971] tesseract_net_space_showcase - capturing... OK
[408/1971] tesseract_tunnel - capturing... OK
[409/1971] tesseract_tunnel_demo - capturing... OK
[410/1971] WFC3DGenerator - capturing... OK
[411/1971] WFCSculptureGenerator - capturing... OK
[412/1971] marching_cubes_gallery - capturing... Exception in thread Thread-765 (_readerthread):
Traceback (most recent call last):
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 1044, in _bootstrap_inner
    self.run()
    ~~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 995, in run
    self._target(*self._args, **self._kwargs)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\subprocess.py", line 1615, in _readerthread
    buffer.append(fh.read())
                  ~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\encodings\cp1252.py", line 23, in decode
    return codecs.charmap_decode(input,self.errors,decoding_table)[0]
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
UnicodeDecodeError: 'charmap' codec can't decode byte 0x8f in position 8117: character maps to <undefined>
OK
[413/1971] MeltingBerniniScene - capturing... OK
[414/1971] cube_mound_scene - capturing... OK
[415/1971] cube_mound_scene_sphere - capturing... OK
[416/1971] dewcoveredfol - capturing... OK
[417/1971] layered_membrane - capturing... OK
[418/1971] metaball_world - capturing... OK
[419/1971] modernistchairgallery - capturing... OK
[420/1971] liquid_simulation - capturing... OK
[421/1971] spherenetwork - capturing... OK
[422/1971] fatwireframe - capturing... OK
[423/1971] implicit_surface_modeling - capturing... OK
[424/1971] fountain_demo - capturing... Exception in thread Thread-789 (_readerthread):
Traceback (most recent call last):
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 1044, in _bootstrap_inner
    self.run()
    ~~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 995, in run
    self._target(*self._args, **self._kwargs)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\subprocess.py", line 1615, in _readerthread
    buffer.append(fh.read())
                  ~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\encodings\cp1252.py", line 23, in decode
    return codecs.charmap_decode(input,self.errors,decoding_table)[0]
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
UnicodeDecodeError: 'charmap' codec can't decode byte 0x8f in position 7500: character maps to <undefined>
OK
[425/1971] GyroidDemo - capturing... Exception in thread Thread-791 (_readerthread):
Traceback (most recent call last):
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 1044, in _bootstrap_inner
    self.run()
    ~~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 995, in run
    self._target(*self._args, **self._kwargs)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\subprocess.py", line 1615, in _readerthread
    buffer.append(fh.read())
                  ~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\encodings\cp1252.py", line 23, in decode
    return codecs.charmap_decode(input,self.errors,decoding_table)[0]
           ~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
UnicodeDecodeError: 'charmap' codec can't decode byte 0x8f in position 7498: character maps to <undefined>
OK
[426/1971] marching_cubes_sculpt_vr - capturing... Exception in thread Thread-793 (_readerthread):
Traceback (most recent call last):
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 1044, in _bootstrap_inner
    self.run()
    ~~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\threading.py", line 995, in run
    self._target(*self._args, **self._kwargs)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\subprocess.py", line 1615, in _readerthread
    buffer.append(fh.read())
                  ~~~~~~~^^
  File "C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\encodings\cp1252.py", line 23, in decode
    return codecs.charmap_decode(input,self.errors,decoding_table)[0]
